t,cruise,dive,id,version,mode,toa_time,toa_mode,mfd_peak,mfd_power,mfd_ratio,spl,shf_agn,shf_ainpshift,shf_ainshift,shf_mfdshift,shf_p2bshift,rate,src,dest,psk_error,packet_type,nframes,nbad,snr_rss,snr_in,snr_out,snr_symbols,mse,dqf,dop,noise_stdev,carrier_hz,bandwidth_hz,pcm,lon_ship,lat_ship,heading_ship,lat_sentry,lon_sentry,depth_sentry,heading_sentry,alt_sentry,range_horizontal,range_slant,nadir_angle,absolute_bearing,relative_bearing
2024-06-27 07:49:03.968,AT50-26,sentry731,$CACST,6.0,0.0,20240627074901.28,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,3.8,6.0,0.0,-3.0,-1.0,-0.5,84.0,10000.0,2000.0,4C,-129.9861214444,45.962265429599995,285.9149999872,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.9979874338662,1500.1845087307322,20.1587799822143,143.45710423446644,217.54210424726642
2024-06-27 07:50:04.094,AT50-26,sentry731,$CACST,6.0,0.0,20240627075001.293,3.0,32767.0,45.0,122.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,16.9,4.0,0.0,-1.0,-1.0,-0.9,72.0,10000.0,2000.0,77,-129.9861093146336,45.96226497223326,284.64392605463155,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.3987112475543,1499.9780899076943,20.137291258379996,143.5374187584004,218.89349270376886
2024-06-27 07:51:04.104,AT50-26,sentry731,$CACST,6.0,0.0,20240627075101.31,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,5.5,4.0,0.0,-1.0,-1.0,-0.9,83.0,10000.0,2000.0,49,-129.9861103048,45.962260670800006,284.7772627460388,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.0592635217314,1499.861261814436,20.12511678767915,143.49898193563217,218.7217191895934
2024-06-27 07:52:04.142,AT50-26,sentry731,$CACST,6.0,0.0,20240627075201.332,3.0,32767.0,45.0,103.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,8.3,4.0,0.0,-1.0,-1.0,-1.1,81.0,10000.0,2000.0,4A,-129.98610443443317,45.9622587179335,285.73577845982,45.9585341,-129.9821436,1408.285,1427.004,186.91,515.6143574012443,1499.708240553241,20.109157125084224,143.525193215434,217.78941475561402
2024-06-27 07:53:04.168,AT50-26,sentry731,$CACST,6.0,0.0,20240627075301.355,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,8.4,6.0,0.0,-3.0,-1.0,-0.7,81.0,10000.0,2000.0,4B,-129.98610399546666,45.96226248480001,284.67851851861343,45.9585341,-129.9821436,1408.285,1427.004,186.91,515.9314260628681,1499.8172814127277,20.120531338612427,143.55590976300414,218.8773912443907
2024-06-27 07:54:04.192,AT50-26,sentry731,$CACST,6.0,0.0,20240627075401.375,3.0,7500.0,38.0,139.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,16.1,6.0,0.0,-3.0,-1.0,-1.0,74.0,10000.0,2000.0,4B,-129.98610675093332,45.96226152293333,285.3227000064,45.9585341,-129.9821436,1408.285,1427.004,186.91,515.9720074261193,1499.8312417309953,20.121986995665598,143.52979785130833,218.20709784490833
2024-06-27 07:55:04.206,AT50-26,sentry731,$CACST,6.0,0.0,20240627075501.39,3.0,32767.0,45.0,135.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,17.7,6.0,0.0,-3.0,-1.0,-0.9,71.0,10000.0,2000.0,76,-129.98610060390052,45.962267244566625,284.85571427584983,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.2020261993977,1499.9103883490386,20.13023727706343,143.6142815965726,218.75856732072276
2024-06-27 07:56:04.230,AT50-26,sentry731,$CACST,6.0,0.0,20240627075601.41,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,10.7,6.0,0.0,-3.0,-1.0,-0.9,79.0,10000.0,2000.0,77,-129.98609960416684,45.9622723864999,284.98164327908853,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.617094215146,1500.0532868069392,20.14512267535859,143.65884816636805,218.67720488727952
2024-06-27 07:57:04.215,AT50-26,sentry731,$CACST,6.0,0.0,20240627075701.434,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,10.7,7.0,0.0,-4.0,-1.0,-0.7,78.0,10000.0,2000.0,77,-129.98610554849986,45.962267948916676,285.62078080507507,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.4921921863267,1500.0102752362857,20.14064366818247,143.58526770112633,217.96448689605126
2024-06-27 07:58:04.264,AT50-26,sentry731,$CACST,6.0,0.0,20240627075801.45,3.0,32767.0,45.0,103.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,12.7,7.0,0.0,-4.0,-1.0,-0.8,77.0,10000.0,2000.0,75,-129.98610054280002,45.96226794253333,285.09939878982266,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.2617734025166,1499.9309517113484,20.132380138976682,143.61981939317184,218.52042060334918
2024-06-27 07:59:04.277,AT50-26,sentry731,$CACST,6.0,0.0,20240627075901.465,3.0,32767.0,45.0,130.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,17.3,7.0,0.0,-4.0,-1.0,-0.7,71.0,10000.0,2000.0,7D,-129.98610217071692,45.96226423810008,284.55448,45.9585341,-129.9821436,1408.285,1427.004,186.91,516.0046047227486,1499.8424561666734,20.123156243923827,143.58139754406034,219.02691754406032
