t,cruise,dive,id,version,mode,toa_time,toa_mode,mfd_peak,mfd_power,mfd_ratio,spl,shf_agn,shf_ainpshift,shf_ainshift,shf_mfdshift,shf_p2bshift,rate,src,dest,psk_error,packet_type,nframes,nbad,snr_rss,snr_in,snr_out,snr_symbols,mse,dqf,dop,noise_stdev,carrier_hz,bandwidth_hz,pcm,lon_ship,lat_ship,heading_ship,lat_sentry,lon_sentry,depth_sentry,heading_sentry,alt_sentry,range_horizontal,range_slant,nadir_angle,absolute_bearing,relative_bearing
2024-06-28 18:40:04.056,AT50-26,sentry732,$CACST,6.0,0.0,20240628184000.715,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,6.6,6.0,0.0,-3.0,-1.0,-0.8,82.0,10000.0,2000.0,45,-129.99588329693333,45.95829356333333,229.95369999872,45.9569439,-129.9957517,1433.925,1453.088,215.63,150.5885948550828,1441.810608410629,5.995139077604226,176.1221757872164,306.1684757884964
2024-06-28 18:41:04.074,AT50-26,sentry732,$CACST,6.0,0.0,20240628184100.73,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,8.1,6.0,0.0,-3.0,-1.0,-0.9,81.0,10000.0,2000.0,47,-129.99587611863353,45.95829772713329,230.1110269121578,45.9569439,-129.9957517,1433.925,1453.088,215.63,151.01461252554395,1441.8551656880243,6.011975384524106,176.34435538635216,306.23332847419437
2024-06-28 18:42:04.093,AT50-26,sentry732,$CACST,6.0,0.0,20240628184200.754,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,9.7,5.0,0.0,-2.0,-1.0,-0.6,80.0,10000.0,2000.0,47,-129.99586248376679,45.9582979341334,230.3455577701992,45.9569439,-129.9957517,1433.925,1453.088,215.63,150.97401441158524,1441.8509141560196,6.010370983492592,176.74455441308828,306.3989966428891
2024-06-28 18:43:04.111,AT50-26,sentry732,$CACST,6.0,0.0,20240628184300.77,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,9.0,6.0,0.0,-3.0,-1.0,-0.6,80.0,10000.0,2000.0,46,-129.99588405559996,45.958291631333424,230.34815631751903,45.9569439,-129.9957517,1433.925,1453.088,215.63,150.37800636750134,1441.788628899557,5.986816192803885,176.09431502459597,305.7461587070769
2024-06-28 18:44:04.136,AT50-26,sentry732,$CACST,6.0,0.0,20240628184400.8,3.0,32767.0,45.0,134.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,15.7,7.0,0.0,-4.0,-1.0,-1.2,72.0,10000.0,2000.0,7B,-129.9958707552,45.958295784933334,229.87051151987237,45.9569439,-129.9957517,1433.925,1453.088,215.63,150.77291527083798,1441.8298712414953,6.00242358646806,176.49652902422667,306.6260175043543
2024-06-28 18:45:04.161,AT50-26,sentry732,$CACST,6.0,0.0,20240628184500.816,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,10.6,5.0,0.0,-2.0,-1.0,-0.8,78.0,10000.0,2000.0,74,-129.9958745090333,45.95829435998317,230.26372372443942,45.9569439,-129.9957517,1433.925,1453.088,215.63,150.6326371501488,1441.8152090333242,5.996879686474023,176.3825492995221,306.1188255750827
2024-06-28 18:46:04.179,AT50-26,sentry732,$CACST,6.0,0.0,20240628184600.84,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,12.6,5.0,0.0,-2.0,-1.0,-1.2,77.0,10000.0,2000.0,73,-129.9958812928834,45.95829612561667,229.8072417089503,45.9569439,-129.9957517,1433.925,1453.088,215.63,150.8627858061402,1441.8392718213042,6.005975280361794,176.1882689426992,306.3810272337489
2024-06-28 18:47:04.202,AT50-26,sentry732,$CACST,6.0,0.0,20240628184700.86,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,12.5,5.0,0.0,-2.0,-1.0,-1.1,77.0,10000.0,2000.0,7D,-129.99588864263362,45.9582484869002,230.05014001152,45.9569439,-129.9957517,1433.925,1453.088,215.63,145.61211739555043,1441.2993423843,5.798391425343973,175.82623354384828,305.7760935323283
2024-06-28 18:48:04.121,AT50-26,sentry732,$CACST,6.0,1.0,20240628184800.875,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,3.0,1.0,1.0,150.0,12.5,5.0,0.0,-2.0,-1.0,-1.2,77.0,10000.0,2000.0,77,-129.99584593898305,45.958202085649944,229.58000998681126,45.9569439,-129.9957517,1433.925,1453.088,215.63,140.2503314599772,1440.7675250017378,5.586256862673297,177.01925082660364,307.4392408397924
2024-06-28 18:49:04.234,AT50-26,sentry732,$CACST,6.0,0.0,20240628184900.9,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,13.5,6.0,0.0,-3.0,-1.0,-0.8,76.0,10000.0,2000.0,79,-129.9959054348336,45.95815603649993,229.94117766372182,45.9569439,-129.9957517,1433.925,1453.088,215.63,135.45789914167696,1440.3089071670968,5.396517999728167,174.96115812522203,305.0199804615002
2024-06-28 18:50:04.254,AT50-26,sentry732,$CACST,6.0,0.0,20240628185000.926,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,13.2,6.0,0.0,-3.0,-1.0,-0.9,76.0,10000.0,2000.0,75,-129.99590184056703,45.95809322009998,230.12728820723186,45.9569439,-129.9957517,1433.925,1453.088,215.63,128.46824547540137,1439.6683631032975,5.119576327806295,174.81081726190928,304.6835290546774
2024-06-28 18:51:04.269,AT50-26,sentry732,$CACST,6.0,0.0,20240628185100.945,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,14.4,6.0,0.0,-3.0,-1.0,-1.2,75.0,10000.0,2000.0,70,-129.9958766886832,45.95798947876682,230.00440560427768,45.9569439,-129.9957517,1433.925,1453.088,215.63,116.79452064779598,1438.67364807949,4.656515014733322,175.24939674621646,305.2449911419388
2024-06-28 18:52:04.294,AT50-26,sentry732,$CACST,6.0,0.0,20240628185200.965,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,15.0,6.0,0.0,-3.0,-1.0,-1.0,74.0,10000.0,2000.0,70,-129.99591834219996,45.957910880633065,229.55702815281043,45.9569439,-129.9957517,1433.925,1453.088,215.63,108.41354885708999,1438.0175253454975,4.3236873462813055,173.1682206621274,303.611192509317
2024-06-28 18:53:04.313,AT50-26,sentry732,$CACST,6.0,0.0,20240628185300.984,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,15.4,7.0,0.0,-4.0,-1.0,-1.1,72.0,10000.0,2000.0,71,-129.99591204955018,45.957838152733515,230.13959041020357,45.9569439,-129.9957517,1433.925,1453.088,215.63,100.31821873247186,1437.4298767712658,4.0019251117334615,172.89433736570595,302.75474695550236
2024-06-28 18:54:04.331,AT50-26,sentry732,$CACST,6.0,0.0,20240628185401.004,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,14.7,7.0,0.0,-4.0,-1.0,-1.1,74.0,10000.0,2000.0,76,-129.99589315213342,45.95774828803336,230.37630261050774,45.9569439,-129.9957517,1433.925,1453.088,215.63,90.21070821862965,1436.7598538037964,3.599832601227188,173.03011070789705,302.6538080973893
2024-06-28 18:55:04.356,AT50-26,sentry732,$CACST,6.0,0.0,20240628185501.023,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,15.1,7.0,0.0,-4.0,-1.0,-0.7,74.0,10000.0,2000.0,75,-129.99592091460002,45.95766017806667,229.56079760712757,45.9569439,-129.9957517,1433.925,1453.088,215.63,80.80389894178462,1436.1999079895506,3.2252950024241263,170.6732999769663,301.1125023698387
2024-06-28 18:56:04.380,AT50-26,sentry732,$CACST,6.0,0.0,20240628185601.047,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,15.9,8.0,0.0,-5.0,-1.0,-1.1,74.0,10000.0,2000.0,72,-129.99590902633335,45.95760221533333,229.69936937373265,45.9569439,-129.9957517,1433.925,1453.088,215.63,74.28784293050937,1435.848038349556,2.9656906376709484,170.566991668416,300.8676222946833
2024-06-28 18:57:04.297,AT50-26,sentry732,$CACST,6.0,1.0,20240628185701.055,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,3.0,1.0,1.0,150.0,15.2,7.0,0.0,-4.0,-1.0,-1.2,74.0,10000.0,2000.0,7E,-129.99580190100002,45.957537933200065,229.78609217232446,45.9569439,-129.9957517,1433.925,1453.088,215.63,66.24149681753649,1435.454228293479,2.6449513067079042,176.6377164186987,306.85162424637423
2024-06-28 18:58:04.424,AT50-26,sentry732,$CACST,6.0,0.0,20240628185801.09,3.0,32767.0,45.0,124.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,15.1,7.0,0.0,-4.0,-1.0,-1.0,74.0,10000.0,2000.0,71,-129.99572956573334,45.957456023999995,229.38742741988594,45.9569439,-129.9957517,1433.925,1453.088,215.63,57.03511127459094,1435.0588522925132,2.2777686675598345,181.72104003551718,312.33361261563124
2024-06-28 18:59:04.444,AT50-26,sentry732,$CACST,6.0,0.0,20240628185901.11,3.0,32767.0,45.0,101.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,15.9,8.0,0.0,-5.0,-1.0,-1.0,73.0,10000.0,2000.0,72,-129.99564213286666,45.957405527266666,230.08366834082938,45.9569439,-129.9957517,1433.925,1453.088,215.63,52.082973911565176,1434.8705662172015,2.0801808457736746,189.3696802016473,319.2860118608179
2024-06-28 19:00:04.464,AT50-26,sentry732,$CACST,6.0,0.0,20240628190001.13,3.0,32767.0,45.0,106.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,-3.5,6.0,0.0,-3.0,-1.0,-1.0,88.0,10000.0,2000.0,65,-129.99559635306667,45.95736002306666,229.09236527934408,45.9569439,-129.9957517,1433.925,1453.088,215.63,47.857240738391766,1434.7233953330838,1.911536859265162,194.54906678938022,325.45670151003617
2024-06-28 19:01:04.478,AT50-26,sentry732,$CACST,6.0,0.0,20240628190101.137,3.0,32767.0,45.0,102.0,150.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,150.0,16.7,8.0,0.0,-5.0,-1.0,-0.8,73.0,10000.0,2000.0,71,-129.99587087083412,45.95730675620016,230.24678324425335,45.9569439,-129.9957517,1433.925,1453.088,215.63,41.43243120063318,1434.5234581491497,1.6550678215823078,167.13867473154392,296.89189148729054
